[2019-12-16 01:55:21,091] INFO Server environment:java.class.path=E:\lab4\kafka1\libs\activation-1.1.1.jar;E:\lab4\kafka1\libs\aopalliance-repackaged-2.5.0.jar;E:\lab4\kafka1\libs\argparse4j-0.7.0.jar;E:\lab4\kafka1\libs\audience-annotations-0.5.0.jar;E:\lab4\kafka1\libs\commons-lang3-3.8.1.jar;E:\lab4\kafka1\libs\connect-api-2.3.1.jar;E:\lab4\kafka1\libs\connect-basic-auth-extension-2.3.1.jar;E:\lab4\kafka1\libs\connect-file-2.3.1.jar;E:\lab4\kafka1\libs\connect-json-2.3.1.jar;E:\lab4\kafka1\libs\connect-runtime-2.3.1.jar;E:\lab4\kafka1\libs\connect-transforms-2.3.1.jar;E:\lab4\kafka1\libs\guava-20.0.jar;E:\lab4\kafka1\libs\hk2-api-2.5.0.jar;E:\lab4\kafka1\libs\hk2-locator-2.5.0.jar;E:\lab4\kafka1\libs\hk2-utils-2.5.0.jar;E:\lab4\kafka1\libs\jackson-annotations-2.10.0.jar;E:\lab4\kafka1\libs\jackson-core-2.10.0.jar;E:\lab4\kafka1\libs\jackson-databind-2.10.0.jar;E:\lab4\kafka1\libs\jackson-dataformat-csv-2.10.0.jar;E:\lab4\kafka1\libs\jackson-datatype-jdk8-2.10.0.jar;E:\lab4\kafka1\libs\jackson-jaxrs-base-2.10.0.jar;E:\lab4\kafka1\libs\jackson-jaxrs-json-provider-2.10.0.jar;E:\lab4\kafka1\libs\jackson-module-jaxb-annotations-2.10.0.jar;E:\lab4\kafka1\libs\jackson-module-paranamer-2.10.0.jar;E:\lab4\kafka1\libs\jackson-module-scala_2.12-2.10.0.jar;E:\lab4\kafka1\libs\jakarta.activation-api-1.2.1.jar;E:\lab4\kafka1\libs\jakarta.annotation-api-1.3.4.jar;E:\lab4\kafka1\libs\jakarta.inject-2.5.0.jar;E:\lab4\kafka1\libs\jakarta.ws.rs-api-2.1.5.jar;E:\lab4\kafka1\libs\jakarta.xml.bind-api-2.3.2.jar;E:\lab4\kafka1\libs\javassist-3.22.0-CR2.jar;E:\lab4\kafka1\libs\javax.servlet-api-3.1.0.jar;E:\lab4\kafka1\libs\javax.ws.rs-api-2.1.1.jar;E:\lab4\kafka1\libs\jaxb-api-2.3.0.jar;E:\lab4\kafka1\libs\jersey-client-2.28.jar;E:\lab4\kafka1\libs\jersey-common-2.28.jar;E:\lab4\kafka1\libs\jersey-container-servlet-2.28.jar;E:\lab4\kafka1\libs\jersey-container-servlet-core-2.28.jar;E:\lab4\kafka1\libs\jersey-hk2-2.28.jar;E:\lab4\kafka1\libs\jersey-media-jaxb-2.28.jar;E:\lab4\kafka1\libs\jersey-server-2.28.jar;E:\lab4\kafka1\libs\jetty-client-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-continuation-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-http-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-io-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-security-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-server-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-servlet-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-servlets-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jetty-util-9.4.18.v20190429.jar;E:\lab4\kafka1\libs\jopt-simple-5.0.4.jar;E:\lab4\kafka1\libs\jsr305-3.0.2.jar;E:\lab4\kafka1\libs\kafka-clients-2.3.1.jar;E:\lab4\kafka1\libs\kafka-log4j-appender-2.3.1.jar;E:\lab4\kafka1\libs\kafka-streams-2.3.1.jar;E:\lab4\kafka1\libs\kafka-streams-examples-2.3.1.jar;E:\lab4\kafka1\libs\kafka-streams-scala_2.12-2.3.1.jar;E:\lab4\kafka1\libs\kafka-streams-test-utils-2.3.1.jar;E:\lab4\kafka1\libs\kafka-tools-2.3.1.jar;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-javadoc.jar;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-javadoc.jar.asc;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-scaladoc.jar;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-scaladoc.jar.asc;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-sources.jar;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-sources.jar.asc;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-test-sources.jar;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-test-sources.jar.asc;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-test.jar;E:\lab4\kafka1\libs\kafka_2.12-2.3.1-test.jar.asc;E:\lab4\kafka1\libs\kafka_2.12-2.3.1.jar;E:\lab4\kafka1\libs\kafka_2.12-2.3.1.jar.asc;E:\lab4\kafka1\libs\log4j-1.2.17.jar;E:\lab4\kafka1\libs\lz4-java-1.6.0.jar;E:\lab4\kafka1\libs\maven-artifact-3.6.1.jar;E:\lab4\kafka1\libs\metrics-core-2.2.0.jar;E:\lab4\kafka1\libs\osgi-resource-locator-1.0.1.jar;E:\lab4\kafka1\libs\paranamer-2.8.jar;E:\lab4\kafka1\libs\plexus-utils-3.2.0.jar;E:\lab4\kafka1\libs\reflections-0.9.11.jar;E:\lab4\kafka1\libs\rocksdbjni-5.18.3.jar;E:\lab4\kafka1\libs\scala-library-2.12.10.jar;E:\lab4\kafka1\libs\scala-library-2.12.8.jar;E:\lab4\kafka1\libs\scala-logging_2.12-3.9.0.jar;E:\lab4\kafka1\libs\scala-reflect-2.12.8.jar;E:\lab4\kafka1\libs\slf4j-api-1.7.26.jar;E:\lab4\kafka1\libs\slf4j-log4j12-1.7.26.jar;E:\lab4\kafka1\libs\snappy-java-1.1.7.3.jar;E:\lab4\kafka1\libs\spotbugs-annotations-3.1.9.jar;E:\lab4\kafka1\libs\validation-api-2.0.1.Final.jar;E:\lab4\kafka1\libs\zkclient-0.11.jar;E:\lab4\kafka1\libs\zookeeper-3.4.14.jar;E:\lab4\kafka1\libs\zstd-jni-1.4.0-1.jar (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,093] INFO Server environment:java.library.path=C:\Program Files (x86)\Java\jdk1.8.0_181\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Java\jdk-13.0.1\bin;C:\Program Files\Microsoft MPI\Bin\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\ManagementStudio\;C:\Program Files\Common Files\Autodesk Shared\;C:\Users\яна\AppData\Roaming\nvm;C:\Program Files\nodejs;C:\Program Files\nodejs\;E:\Apps\Git\cmd;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\;C:\Users\яна\AppData\Local\Microsoft\WindowsApps;C:\Users\яна\AppData\Local\Programs\Microsoft VS Code\bin;E:\Apps\PyCharm 2019.1.1\bin;C:\Users\яна\AppData\Local\Programs\Python\Python37-32\Scripts\;C:\Users\яна\.dotnet\tools;C:\Users\яна\AppData\Roaming\npm;. (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,095] INFO Server environment:java.io.tmpdir=C:\Users\1BEE~1\AppData\Local\Temp\ (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,096] INFO Server environment:java.compiler=<NA> (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,097] INFO Server environment:os.name=Windows 10 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,097] INFO Server environment:os.arch=x86 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,098] INFO Server environment:os.version=10.0 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,099] INFO Server environment:user.name=яна (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,105] INFO Server environment:user.home=C:\Users\яна (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,106] INFO Server environment:user.dir=E:\lab4\kafka1\bin\windows (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,173] INFO tickTime set to 3000 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,174] INFO minSessionTimeout set to -1 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,175] INFO maxSessionTimeout set to -1 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,266] INFO Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory (org.apache.zookeeper.server.ServerCnxnFactory)
[2019-12-16 01:55:21,285] INFO binding to port 0.0.0.0/0.0.0.0:2181 (org.apache.zookeeper.server.NIOServerCnxnFactory)
